name,unit,ec7bbb9c1614f82f055f42dc9677c70b063ffd9e
Modalities.Instances.Localisation,s,0.54
Core.PullbackPowers,s,0.53
Synthetic.Categories.NecklaceLifting,s,0.51
Modalities.Subuniverses,s,0.5
Synthetic.Categories.DirectedGlueing,s,0.49
Synthetic.Horns,s,0.47
Foundations.Homotopy,s,0.45
Modalities.Cohesion.Continuity,s,0.45
Synthetic.Categories.SpineLifting,s,0.44
Synthetic.Quasicoherence,s,0.43
Algebra.Lattice.Instances.Polynomial,s,0.42
Core.PushoutSums,s,0.42
Synthetic.Categories.Categories,s,0.42
Core.UniversalFibrations,s,0.39
Synthetic.Categories.LeftSegal,s,0.39
Core.Orthogonal,s,0.38
Core.FlatteningPushouts,s,0.37
Modalities.Instances.Nullification,s,0.37
Synthetic.Categories.SplitMonomorphisms,s,0.37
Synthetic.Simplicial,s,0.36
Modalities.SeparatedTypes,s,0.36
Synthetic.Categories.SplitEpimorphisms,s,0.36
Ergonomics.Extensionality,s,0.36
Synthetic.Categories.Groupoids,s,0.36
Modalities.Instances.Truncation,s,0.35
Synthetic.Categories.PushoutJoins,s,0.35
Synthetic.Categories.WalkingSplitHom,s,0.34
Algebra.Lattice.Instances.Free.Inductive,s,0.33
Core.WedgeSums,s,0.32
Foundations.SigmaProperties,s,0.31
Foundations.CanonicalPullbacks,s,0.31
Core.FlatteningSequentialColimits,s,0.3
Core.SetQuotients,s,0.3
Algebra.SemilatticesAreSets,s,0.29
Modalities.ModalEquivalences,s,0.29
Foundations.Squares,s,0.29
Core.FlatteningCoequalisers,s,0.28
Foundations.CompositionEquiv,s,0.28
Core.LeibnizAdjunction,s,0.28
Synthetic.Boundaries,s,0.27
Foundations.EquivHomotopy,s,0.26
Modalities.Cohesion.Sharp,s,0.26
Modalities.HigherModalities,s,0.25
Synthetic.Categories.RightSegal,s,0.25
Synthetic.Categories.LeftCofinalMaps,s,0.25
Synthetic.Disjunctive,s,0.24
Foundations.Functions,s,0.23
Synthetic.Categories.Pregroupoids,s,0.23
Synthetic.Categories.NaturalTransformations,s,0.22
Core.Small,s,0.21
Core.Images,s,0.21
Foundations.Identity,s,0.2
Core.Codiagonals,s,0.2
Modalities.Cohesion.Flat,s,0.2
Modalities.Lex,s,0.2
Foundations.Reasoning,s,0.19
Synthetic.Categories.UniversalElements,s,0.19
Modalities.Cohesion.FlatLex,s,0.19
Foundations.FunExt,s,0.18
Synthetic.Categories.EssentiallySurjectiveMaps,s,0.18
Synthetic.Categories.Yoneda,s,0.18
Foundations.NullHomotopy,s,0.17
Foundations.TotalEquiv,s,0.17
Axioms.CanonicalPushouts,s,0.17
Core.DescentPushouts,s,0.16
Modalities.Cohesion.FlatDiscrete,s,0.16
Core.Coslices,s,0.16
Axioms.FreeAlgebraicInjectives,s,0.16
Foundations.6for2,s,0.16
Synthetic.Categories.AlgebraicLaws,s,0.16
Algebra.Lattice.Instances.Slice,s,0.16
Foundations.CanonicalEqualisers,s,0.16
Foundations.Retracts,s,0.16
Core.Slices,s,0.15
Foundations.IsEquivIsProp,s,0.15
Synthetic.Categories.Initial,s,0.15
Foundations.SigmaIdentity,s,0.14
Everything,s,0.14
Foundations.Embeddings,s,0.14
Foundations.PullbackIdentity,s,0.14
Foundations.Truncated,s,0.14
Foundations.DependentCocones,s,0.13
Modalities.Cohesion.LiftingSquares,s,0.13
Synthetic.Categories.EquivCovariantFamilies,s,0.13
Foundations.Pullbacks,s,0.13
Synthetic.Categories.FullSubcategories,s,0.12
Core.WedgeSumsFunctoriality,s,0.12
Foundations.PathSplit,s,0.12
Algebra.Lattice.Instances.Prop,s,0.12
Algebra.Lattice.Instances.Free.SimplexCoslice,s,0.11
Foundations.WithFunExt,s,0.11
Modalities.Cohesion.Connectivity,s,0.11
Foundations.3for2,s,0.11
Foundations.DependentIdentity,s,0.11
Synthetic.Spines,s,0.1
Synthetic.Necklaces,s,0.1
Foundations.IdentityConjugation,s,0.1
Foundations.IdentitySystems,s,0.1
Foundations.TypeFamilies,s,0.1
Modalities.ConnectedTypes,s,0.1
Algebra.Lattice.Instances.Pointwise,s,0.1
Core.GlobalClassesMaps,s,0.1
Foundations.Cotowers,s,0.1
Core.Postwhisker,s,0.1
Core.LiftingSquares,s,0.1
Foundations.Sets,s,0.09
Foundations.CompositionFibres,s,0.09
Ergonomics.Representation,s,0.09
Synthetic.Categories.NaturalIsomorphisms,s,0.09
Foundations.BiinvertibleMaps,s,0.09
Core.Suspensions,s,0.09
Wild.Categories.Structure,s,0.09
Modalities.Instances.Open,s,0.09
Foundations.FibreIdentity,s,0.09
Core.ExtPullbacks,s,0.09
Foundations.HomotopyEquiv,s,0.08
Foundations.Towers,s,0.08
Core.PushoutSumsFamilies,s,0.08
Wild.FunctorialityPolynomialEndofunctors,s,0.08
Foundations.Straightening,s,0.07
Foundations.Spans,s,0.07
Synthetic.Categories.EssentialFibres,s,0.07
Synthetic.Categories.WalkingHom,s,0.07
Foundations.FibrewiseEquivalences,s,0.07
Core.PullbackPowersFamilies,s,0.07
Core.PiSection,s,0.07
Foundations.ExtensionsMaps,s,0.07
Synthetic.Directedness,s,0.07
Wild.PolynomialEndofunctors,s,0.07
Core.SurjectiveMaps,s,0.07
Foundations.TransposingEqualitiesInverses,s,0.07
Ergonomics.Marker,s,0.06
Foundations.PropExt,s,0.06
Algebra.Lattice.Instances.Bool,s,0.06
Foundations.Univalence,s,0.06
Foundations.UnitUP,s,0.06
Foundations.FunctionIteration,s,0.06
Synthetic.Conjunctive,s,0.06
Foundations.TheoremOfChoice,s,0.06
Foundations.SingletonClosure,s,0.06
Synthetic.Categories.Adjoints,s,0.06
Ergonomics.TCM,s,0.05
Synthetic.Categories.ConservativeMaps,s,0.05
Algebra.Lattice.Instances.Coslice,s,0.05
Foundations.QuasiEquivalences,s,0.05
Algebra.Lattice.Instances.Opposite,s,0.05
Core.CartesianDisplayedSpans,s,0.05
Synthetic.Cubes,s,0.05
Foundations.Subtypes,s,0.05
Foundations.IdentityEquiv,s,0.05
Ergonomics.Universal,s,0.05
Foundations.Bipointed,s,0.05
Modalities.Factorisation,s,0.05
Foundations.CoproductFunctoriality,s,0.05
Foundations.FunctionInverses,s,0.05
Foundations.SingletonFibres,s,0.05
Foundations.FunExtFromUnivalence,s,0.05
Modalities.GlobalSubuniverses,s,0.04
Foundations.Currying,s,0.04
Synthetic.Categories.Isofibrations,s,0.04
Algebra.Order.Monotone,s,0.04
Foundations.WeakFunExt,s,0.04
Axioms.UF,s,0.04
Core.BipointedWedgeSumsFunctoriality,s,0.04
Algebra.TotalOrder,s,0.04
Ergonomics.Term,s,0.04
Core.Cofibres,s,0.04
Foundations.TorsorialTypeFamilies,s,0.04
Foundations.Nat,s,0.04
Modalities.ModalMaps,s,0.04
Foundations.Sigma,s,0.03
Foundations.Coproducts,s,0.03
Foundations.PropMapEmbedding,s,0.03
Axioms.FunExt,s,0.03
Core.Interval,s,0.03
Foundations.PropClosure,s,0.03
Core.BipointedWedgeSums,s,0.03
Algebra.Order.Instances.Opposite,s,0.03
Foundations.SubtypeEquiv,s,0.03
Foundations.DependentHomotopy,s,0.03
Algebra.Poset,s,0.03
Foundations.Singletons,s,0.03
Foundations.EquivSingleton,s,0.03
Foundations.UniverseLifts,s,0.03
Foundations.EmptyUP,s,0.02
Foundations.Prelude,s,0.02
Foundations.SingletonProp,s,0.02
Foundations.Pointed,s,0.02
Foundations.Pushouts,s,0.02
Wild.MorphismsPolynomialEndofunctors,s,0.02
Core.Spheres,s,0.02
Foundations.InjectiveMaps,s,0.02
Foundations.Epifunctions,s,0.02
Ergonomics.Notations.Orthogonality,s,0.02
Foundations.List,s,0.02
Foundations.TruncationLevels,s,0.02
Foundations.NatIdentity,s,0.02
Ergonomics.Literals,s,0.01
Foundations.IdentityReasoning,s,0.01
Foundations.EquivOfSingleton,s,0.01
Foundations.SequentialColimits,s,0.01
Foundations.Forks,s,0.01
Foundations.LoopSpaces,s,0.01
Foundations.Fin,s,0.01
Foundations.Bool,s,0.01
